username,timestamp,text,team,sentiment,sentiment_score,context_sentiment,context_modifiers,vader_scores,emoji_sentiment
NFL Digest,2024-11-09T22:40:51.000Z,#nfl #DallasCowboys Dak Prescott is exploring options to avoid surgery on his torn hamstring hoping to return this season. The Dallas Cowboys quarterback will consult a specialist on Mond...,Dallas Cowboys,negative,-0.061619999999999994,0.0,{},"{'neg': 0.117, 'neu': 0.806, 'pos': 0.078, 'compound': -0.1027}",0
Dallas Sports Fan,2024-11-09T22:39:11.000Z,New Look Cowboys offense for 2025 (Skill positions) QB1: Dak Prescott RB1: Ashton Jeanty RB2: Rico Dowdle TE1: Jake Ferguson WR1: Ceedee Lamb WR2: Travis Hunter WR3: Jalen Tolbert/Cooks Who’s stopping this offense from winning it all?,Dallas Cowboys,negative,-0.06924,0.0,{},"{'neg': 0.132, 'neu': 0.791, 'pos': 0.077, 'compound': -0.1154}",0
mavs 5-5,2024-11-09T22:37:16.000Z,Stars and Mavs underwhelming. Cowboys suck Rangers save us please,Dallas Cowboys,positive,0.22907999999999998,0.0,{},"{'neg': 0.167, 'neu': 0.517, 'pos': 0.316, 'compound': 0.3818}",0
Aaron,2024-11-09T22:36:46.000Z,Sit CeeDee Lamb out for the season too,Dallas Cowboys,neutral,0.0,0.0,{},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
Bret Weingart,2024-11-09T22:36:21.000Z,The Dallas Cowboys are so bad the Eagles should almost feel sorry for them ... almost. Blame Jerry Jones. - Philadelphia Inquirer,Dallas Cowboys,negative,-0.45977999999999997,0.0,{},"{'neg': 0.234, 'neu': 0.766, 'pos': 0.0, 'compound': -0.7663}",0
Star Sports Tours,2024-11-09T22:36:21.000Z,OVERSHOWN #PHIvsDAL #DallasCowboys #OnlyWithSST #CowboysTravel #CowboysNation #WeDemBoyz #meetandgreet,Dallas Cowboys,neutral,0.0,0.0,{},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
Jordy,2024-11-09T22:26:14.000Z,1/2 The Dallas Cowboys need to look for the QB of the future. He has been there since 2016 and they still don’t look like a Super Bowl winner with him. He is now out for the rest of this season with a partially torn hamstring and even with him they are 3-5.,Dallas Cowboys,positive,0.50886,0.0,{},"{'neg': 0.031, 'neu': 0.81, 'pos': 0.159, 'compound': 0.8481}",0
Gavin Boone,2024-11-09T22:23:57.000Z,Now we just need crooked Jerry to fire McCarthy and Zimmer and the #DallasCowboys can tank for a top 5 draft pick.,Dallas Cowboys,negative,-0.16686,-0.3,{'season_negative': 'tank'},"{'neg': 0.099, 'neu': 0.826, 'pos': 0.074, 'compound': -0.1531}",0
Christian Gallardo,2024-11-09T22:21:25.000Z,Big news for Cowboys fans! QB Dak Prescott is likely facing season-ending surgery on his partially torn hamstring. The final decision hinges on a second opinion but this could be a tough blow for Dallas. Get the full scoop here:,Dallas Cowboys,positive,0.06804,0.0,{},"{'neg': 0.068, 'neu': 0.89, 'pos': 0.042, 'compound': 0.1134}",0
915DieHardCowboyFan4Life,2024-11-09T22:19:05.000Z,How we feeling about Dak's season ending #DallasCowboys #CowboysNation should we still have faith in Coop or should we just expect a top 5-10 pick?????,Dallas Cowboys,positive,0.43416,0.0,{},"{'neg': 0.0, 'neu': 0.757, 'pos': 0.243, 'compound': 0.7236}",0
Fly Eagles Fly Bets,2024-11-09T22:18:29.000Z,This meme always hits year after year Try again next year,Dallas Cowboys,neutral,0.0,0.0,{},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
"Addam M. Francisco, MLS",2024-11-09T22:15:02.000Z,Travis Hunter. I want to see him on the Dallas Cowboys.,Dallas Cowboys,neutral,0.04632,0.0,{},"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.0772}",0
Patrick W. Cutler,2024-11-09T22:13:19.000Z,With Kenny Pickett starting at Dallas my “Pick of the Week” is: Cowboys by 50 freakin Billion,Dallas Cowboys,neutral,0.0,0.0,{},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
Matthew Edmonson,2024-11-09T22:06:25.000Z,Cowboys +7.5 Hurts 0-3 in Dallas more picks than td's.,Dallas Cowboys,negative,-0.28602,0.0,{},"{'neg': 0.205, 'neu': 0.795, 'pos': 0.0, 'compound': -0.4767}",0
Jackson Howard,2024-11-09T22:05:22.000Z,The Dallas Cowboys' season has taken another hit with quarterback Dak Prescott expected to undergo season-ending surgery. Read my article for a breakdown of what this means for the rest of the Cowboys' season. #NFL #Cowboys #DakPrescott #NFLweek10,Dallas Cowboys,neutral,0.0,0.0,{},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
Exotixx,2024-11-09T22:04:10.000Z,#DallasCowboys #dtxplug #dtxmeets #ftworthplug #Garlandtx #mesquitefreaks #420dallas #dallasplug Telegram: DMS OPEN!!!,Dallas Cowboys,neutral,0.0,0.0,{},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
QWIKET NFL,2024-11-09T22:03:25.000Z,#nfl #DallasCowboys The Dallas Cowboys face a significant setback as quarterback Dak Prescott is expected to undergo season-ending surgery on his hamstring. This decision comes after consultations with team doctors and a final specialist in New York. If,Dallas Cowboys,positive,0.12138,0.0,{},"{'neg': 0.0, 'neu': 0.957, 'pos': 0.043, 'compound': 0.2023}",0
USA TODAY Sports,2024-11-09T22:00:38.000Z,Dallas Cowboys quarterback Dak Prescott is planning to undergo season-ending surgery to repair partial hamstring tear according to reports.,Dallas Cowboys,neutral,0.0,0.0,{},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
